,date,username,tweet
56,2021-09-24 23:21:15,YahooFinance,"Chef @WolfgangPuck on the restaurant worker shortage: ""I think the wages are not the issue. We have to really figure out a way for people, especially young people, to see how can they grow in our industry, how can they ... start as a waiter or a chef, maybe become a manager...""  https://t.co/SAFg2xvX4V"
57,2021-09-24 23:20:45,YahooFinance,SALT: Here's how lawmakers could alter key contentious tax rule  https://t.co/7xYyOw8ruM by @benwerschkul  https://t.co/XeFG8jMkqo
58,2021-09-24 23:08:30,YahooFinance,"""It was predictable that it would be a mess,"" NYU Langone Health's Dr. @ArthurCaplan says about the U.S. booster shot guidelines. ""There's so many people eligible under the conditions they laid out that everybody who follows this issue is going to go out and get a booster.""  https://t.co/r2nKQDDlKm"
59,2021-09-24 23:06:37,YahooFinance,Americans are going to extreme lengths to buy a car amid lingering shortage  https://t.co/gcFT4TiPkt by @veragibbons  https://t.co/2qTR63cdoo
60,2021-09-24 22:57:49,YahooFinance,"""China's the second-largest economy in the world, and if what we're seeing happening there is going to lead to slower growth, that's going to weigh on global growth,"" @MorganStanley's Jim Caron says, ""and if global growth slows down, that can weigh on financial markets...""  https://t.co/R3687I5Vdc"
61,2021-09-24 22:53:50,YahooFinance,"""The first thing we did in a three-pronged approach was create awareness,” Benton Harbor Mayor @marcus4polytics says about the city’s water crisis. “Number two, was to go after resources where we could address the problem, which is the third step in terms of correction.”  https://t.co/KK0gnki6Lm"
62,2021-09-24 22:41:05,YahooFinance,"“Certainly given the escalation of all of these global challenges that we’re suffering from right now is that there is an increased level of focus on wedding profit with purpose,” Newday Impact CEO Doug Heske says.  https://t.co/YZbP0mH40u"
63,2021-09-24 22:38:51,YahooFinance,"“The emergence of crypto is very big,” Former CFTC Chairman J. Christopher Giancarlo says. “This is a multigenerational change in the nature of finance—in the nature of money.”  https://t.co/0SuGvOSw2l"
64,2021-09-24 22:03:52,YahooFinance,CDC guidance exacerbates confusion over COVID-19 boosters  https://t.co/se0zI7Yj83 by @AnjKhem  https://t.co/u5y0ZhM5Mk
65,2021-09-24 21:51:10,YahooFinance,6 cheap restaurant stocks that will fatten up your portfolio: analyst  https://t.co/jh0HaW7cuB by @BrianSozzi  https://t.co/y5Oo1fitUN
66,2021-09-24 21:48:08,YahooFinance,"“It has been a very volatile week,” @westwood_group Quality Value Fund Portfolio Manager Matt Lockridge says. “Over the last couple of years we’ve really had a more macro driven market. That to us is ending.”  https://t.co/TOCIrTcSFq"
67,2021-09-24 21:34:04,YahooFinance,Clearwater Analytics CEO Sandeep Sahai discusses his company’s IPO debut from the NYSE:  https://t.co/5wYwysoZyh
68,2021-09-24 21:33:49,YahooFinance,What is the debt ceiling? @Bcheungz breaks it down on this week’s Yahoo U:  https://t.co/kqKVEYBZHt
69,2021-09-24 20:55:18,YahooFinance,Nike still confident despite revising short-term outlook due to supply chain issues  https://t.co/5PzcU60WzT by @ReggieWade  https://t.co/uzUHcSWWX1
70,2021-09-24 20:47:18,YahooFinance,"“For investors who are looking at the long game, this is a huge opportunity,” @GerberKawasaki Wealth &amp; Investment Management CEO Ross Gerber says about investing in cannabis. “The players in cannabis have only gotten stronger over the last year.”  https://t.co/yU8xePlmFh"
71,2021-09-24 20:41:50,YahooFinance,"“This is great news for Bitcoin,” @GerberKawasaki Wealth &amp; Investment Management CEO Ross Gerber says about China saying crypto transactions are illegal. “The last thing we want is China involved with a currency of the world.”  https://t.co/uABo5VXnWD"
72,2021-09-24 20:40:00,YahooFinance,Moderna President Stephen Hoge joins Yahoo Finance Live to discuss the latest information about Moderna's COVID-19 vaccine:  https://t.co/BkzEFi9wJI
73,2021-09-24 20:32:54,YahooFinance,"The labor market is ""tight, it’s really tough, but what the large chain restaurants tend to have is a really good culture that provides excellent training and a pathway for growth,” Jefferies' Andy Barish says. “The larger restaurants are really in an advantageous position.”  https://t.co/Raz4f5HjLD"
74,2021-09-24 20:21:27,YahooFinance,‘Wildly political’ environment around vaccine creates room for ‘new leadership’: 23andMe CEO  https://t.co/9WvlVb13hE by @MaxZahn_ and @serwer  https://t.co/DuwWjdBoTw
75,2021-09-24 20:13:55,YahooFinance,"A survey from @GARP_Risk says more firms are trying to better assess climate risk. “What we’re seeing… is just a growing awareness [and] understanding of the risks,” President Jo Paisley says.  https://t.co/MwiHIwqHEt"
76,2021-09-24 20:07:25,YahooFinance,"“When you think about where we’re investing capital… whether it’s green bonds or venture capital money… there is a massive opportunity for the financial industry… to participate and have a massively positive impact,” Schneider Electric Country U.S. President Aamir Paul says.  https://t.co/a79lUNpbNL"
77,2021-09-24 19:51:26,YahooFinance,".@JPMorganAM’s Jordan Jackson: “Historically, we’ve seen that government shutdowns tend to be short-lived. … and markets, while they may correct in the short-term, they do continue to climb higher.”  https://t.co/rzeDhje3EG"
78,2021-09-24 19:48:51,YahooFinance,"Advertising group WPP to pay $19 million to settle anti-bribery charges, says U.S. SEC  https://t.co/siONbht3r6  https://t.co/iiXNXCwFUV"
79,2021-09-24 19:48:40,YahooFinance,U.S. new home sales beat expectations in August  https://t.co/obYSuS7Ng9  https://t.co/aFvinN2Ox8
80,2021-09-24 19:25:39,YahooFinance,Morningstar’s David Swartz on $NKE’s supply chain issues: “The demand for all athletic apparel and footwear is high and has been high for really the last year plus… ultimately I do think the problem is transitory.”  https://t.co/fkFlpGzyvg
81,2021-09-24 19:04:19,YahooFinance,"Apple iPhone 13 and iPhone 13 Pro review: fantastic cameras, great battery life  https://t.co/leD4BZoyNN by @DanielHowley  https://t.co/h4ZGr2cBZE"
82,2021-09-24 19:03:58,YahooFinance,"ESG investing: 'There suddenly has been a sea change among U.S. companies,' CEO explains  https://t.co/VBPAX5rhZf  https://t.co/djTAqtEHJA"
83,2021-09-24 19:00:49,YahooFinance,"“We do think that the bones of this economy are very, very strong,” @LCalvasinaRBC says. “We have to digest some of these short-term issues like supply chains… but the strong consumer backdrop, the strong corporate backdrop, and the strong demand is going to pull us out.”  https://t.co/dHFOaIdUOM"
84,2021-09-24 18:44:05,YahooFinance,"What Republicans are thinking in the debt-ceiling standoff, according to Gary Cohn  https://t.co/8EGzHC3NvC by @SeanaNSmith  https://t.co/2dOiOkrUj5"
